"Genus"	"Phylum"	"Family"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"rab.all"	"rab.win.10"	"rab.win.5"	"diff.btw"	"diff.win"	"effect"	"overlap"
"Pseudomonas"	"Proteobacteria"	"Pseudomonadaceae"	0.191980724171707	0.665210401490091	0.248823832417582	0.692562046987136	13.1210576868022	13.6383227640897	12.2281452119932	-1.67540075587599	2.680610294954	-0.569919430737555	0.295720153735699
"Psychrobacter"	"Proteobacteria"	"Moraxellaceae"	0.487454429636425	0.759369903275752	0.540959821428571	0.808778083523419	-2.15872261948704	-2.345360536018	-1.69682959786736	0.728222619816832	4.19156747300262	0.202033851015128	0.389105205518449
"Ralstonia"	"Proteobacteria"	"Oxalobacteraceae"	0.555901364997646	0.812996012664817	0.609701236263736	0.851920293027814	-2.12851368963391	-2.23159866720822	-1.81283634139505	0.484641479891404	5.24782521052373	0.0718808405679391	0.459144020765433
"Rhodanobacter"	"Proteobacteria"	"Xanthomonadaceae"	0.000719906342230454	0.0336084804788692	0.0010989010989011	0.0455035199175824	15.4336066014278	15.6735165322064	12.0910281193617	-3.4504051543821	1.0108508956445	-3.58364672912918	0.00027407495720991
"Rhodococcus"	"Actinobacteria"	"Nocardiaceae"	0.473594331502855	0.774482727246112	0.517736950549451	0.798438363881309	-2.26283185008502	-2.00374572880904	-2.90570991423024	-0.567904896002235	4.94928993419196	-0.0914853589498636	0.445312570380321
"Rhodoferax"	"Proteobacteria"	"Comamonadaceae"	0.2345610602807	0.687001467501735	0.0276013049450549	0.296855796520442	7.65319394130366	8.02606173874385	5.54987962098516	-2.41952849799292	3.53973734755634	-0.618266206642526	0.120623696178148
"Rhodoplanes"	"Proteobacteria"	"Hyphomicrobiaceae"	0.339401971598367	0.697179852807417	0.446995192307692	0.749113213990605	-1.736476583736	-1.37629183955286	-2.67709771024114	-1.71809928943282	5.50461908659591	-0.285030617756604	0.346303716096689
"Roseomonas"	"Proteobacteria"	"Acetobacteraceae"	0.501721227832134	0.785579734444556	0.550643887362637	0.816619016963498	-2.41464419187403	-2.2403142693961	-2.69210604745218	-0.752929823087936	4.44489441394923	-0.142243224813331	0.42412461160593
"Salinibacterium"	"Actinobacteria"	"Microbacteriaceae"	0.00561037573739158	0.109467817641839	0.0135473901098901	0.177457755970446	6.335781050647	7.16918327973153	-2.68160937962247	-8.99002282347041	3.84808530683831	-2.05132279100272	0.0739319238239796
"Sediminibacterium"	"Bacteroidetes"	"Chitinophagaceae"	0.573769816209789	0.824159852568523	0.59818853021978	0.845465136978784	-2.0341998934681	-2.09674812865486	-1.73418653359825	0.940016648743969	5.9758597155452	0.173997773961389	0.447470884135442
"Shewanella"	"Proteobacteria"	"Shewanellaceae"	0.493614228571031	0.775676956293456	0.522836538461538	0.796289484758524	-2.36202636680809	-2.20686950490017	-2.9276742274036	-0.868402972028036	4.26080597305687	-0.181421072584336	0.404669385514707
"Skermanella"	"Proteobacteria"	"Rhodospirillaceae"	0.492234421229773	0.767351220013474	0.53178228021978	0.791404674546545	-2.21640622889846	-2.4090238277163	-1.47748494741534	1.47685102987876	4.67719539050773	0.258420527784586	0.371093925582189
"Sphingobium"	"Proteobacteria"	"Sphingomonadaceae"	0.411622269734386	0.7700761148257	0.36665521978022	0.761243008479617	3.64352330739975	2.2542699662814	5.36987846438502	2.83552221251951	7.12955107750311	0.41691950163197	0.319066410537704
